Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type
1,1.6038885285194966,1.5175661589739469,0.2662297316767846,-0.5003474401446116,44.0,55.0,Tool Wear Failure
1,1.426113253799925,1.2277330499261379,0.31274989602833697,-0.7770202689294179,35.0,57.0,Tool Wear Failure
1,1.2483379790804547,0.937899940878329,-0.8347474913099553,0.6985681512562145,36.0,84.0,Tool Wear Failure
1,1.2483379790804547,0.937899940878329,-0.4108971049958113,0.8215338529383501,33.0,47.0,Tool Wear Failure
1,1.2483379790804547,0.937899940878329,-0.44191054789684625,0.145222493686602,23.0,56.0,Tool Wear Failure
1,1.2483379790804547,0.937899940878329,-0.7365382554566781,1.1904309579847583,45.0,96.0,Tool Wear Failure
1,1.2483379790804547,0.937899940878329,-0.7158626268559881,-0.2031803277461165,55.0,55.0,Tool Wear Failure
0,1.2483379790804547,0.6480668318306847,-0.4935996193985711,1.0264766890752435,45.0,24.0,No Failure
1,1.426113253799925,0.937899940878329,-0.4677550836477087,0.7805452857109716,34.0,22.0,No Failure
1,1.426113253799925,0.937899940878329,-0.4522483621971912,0.09398678465237867,34.0,15.0,No Failure
1,1.6038885285194966,1.2277330499261379,-0.3695458477944314,0.02225679200446644,23.0,15.0,No Failure
1,1.426113253799925,0.937899940878329,-0.6124844838525383,0.7907924275178164,42.0,11.0,No Failure
2,1.6038885285194966,1.2277330499261379,1.362038047513352,-1.3406130683058741,54.0,10.0,No Failure
0,1.6038885285194966,1.2277330499261379,-0.5401197837501235,0.41164818066456343,55.0,14.0,No Failure
1,1.6038885285194966,1.2277330499261379,0.018122188468505183,-0.8282559779636409,54.0,25.0,No Failure
2,1.6038885285194966,1.2277330499261379,-0.6279912053030557,0.5448610241535445,34.0,22.0,No Failure
2,1.426113253799925,0.937899940878329,-0.2765055190913266,-0.039226058836601706,33.0,27.0,No Failure
1,1.426113253799925,0.937899940878329,1.098423782854555,-1.4430844863743209,23.0,19.0,No Failure
1,1.426113253799925,0.937899940878329,1.4964296334178366,-1.535308762635923,24.0,20.67,No Failure
2,1.426113253799925,0.937899940878329,0.9640321969500705,-1.30987164288534,36.0,21.03,No Failure
1,1.7816638032390681,1.2277330499261379,-0.4677550836477087,0.3194239044029616,34.0,21.38,No Failure
1,1.6038885285194966,0.937899940878329,0.42129694618195923,-0.8180088361567964,35.0,21.74,No Failure
2,1.6038885285194966,1.2277330499261379,-0.9794768915147849,1.2621609506326712,36.0,22.09,No Failure
2,1.6038885285194966,1.2277330499261379,0.1783583101238523,-0.469606014724078,37.0,22.45,No Failure
2,1.426113253799925,0.937899940878329,1.0829170614040378,-1.0229516722936898,38.0,22.8,No Failure
1,1.426113253799925,0.6480668318306847,-0.05941141878408213,-0.7360317017020387,39.0,23.15,No Failure
1,1.2483379790804547,0.6480668318306847,-0.09042486168511706,0.4628838896987868,40.0,23.51,No Failure
1,1.2483379790804547,0.937899940878329,1.6101455907216313,-1.5250616208290784,42.0,23.86,No Failure
1,1.2483379790804547,0.6480668318306847,2.328623684595607,-1.9656887185233989,52.0,24.22,No Failure
1,1.2483379790804547,0.6480668318306847,0.07498016712040255,0.07349250103868976,44.0,24.57,No Failure
2,1.2483379790804547,0.6480668318306847,-0.514275247999261,0.06324535923184496,52.0,24.93,No Failure
1,1.2483379790804547,0.35823372278287574,-0.4677550836477087,0.3604124716303401,44.0,25.28,No Failure
1,1.2483379790804547,0.35823372278287574,0.2610608245266121,-0.8999859706115535,35.0,25.64,No Failure
1,1.2483379790804547,0.35823372278287574,-0.4935996193985711,0.8830167037794182,36.0,25.99,No Failure
2,1.2483379790804547,0.6480668318306847,-0.22481644758960173,0.7088152930630586,33.0,26.35,No Failure
0,1.426113253799925,0.6480668318306847,0.41612803903178675,-0.7360317017020387,23.0,26.7,No Failure
1,1.426113253799925,0.35823372278287574,0.16285158867333485,-0.5925717164062135,45.0,27.05,No Failure
1,1.2483379790804547,0.06840061373523151,1.7135237337250813,-1.7812401660001949,55.0,27.41,No Failure
0,1.0705627043608832,0.06840061373523151,-0.21447863328925676,0.37065961343718495,45.0,27.76,No Failure
2,1.2483379790804547,0.35823372278287574,-0.21964754043942925,-0.039226058836601706,34.0,28.12,No Failure
2,1.2483379790804547,0.06840061373523151,-0.28167442624149913,0.20670534452767014,34.0,28.47,No Failure
1,1.2483379790804547,0.06840061373523151,0.7210935608919635,-1.074187381327913,23.0,28.83,No Failure
1,1.2483379790804547,0.06840061373523151,-0.5659643195009859,0.5960967331877679,42.0,29.18,No Failure
1,1.426113253799925,0.35823372278287574,0.12150033147195494,-0.5925717164062135,54.0,29.54,No Failure
1,1.2483379790804547,0.06840061373523151,0.302412081727992,-0.705290276281505,55.0,29.89,No Failure
2,1.2483379790804547,0.06840061373523151,0.8606540539466206,-1.2074002248168936,54.0,30.25,No Failure
1,1.0705627043608832,-0.22143249531257747,-0.37988366209477636,0.08373964284553458,34.0,30.6,No Failure
1,1.426113253799925,0.35823372278287574,-0.5556265052006409,0.49362531511932123,33.0,30.95,No Failure
1,1.426113253799925,0.35823372278287574,0.09048688857092001,0.1349753518797579,23.0,31.31,No Failure
1,1.6038885285194966,0.6480668318306847,-1.191402084671857,1.1084538235300012,24.0,31.66,No Failure
1,1.426113253799925,0.35823372278287574,0.02846000276885016,0.3604124716303401,36.0,32.02,No Failure
1,1.426113253799925,0.35823372278287574,0.9640321969500705,-1.074187381327913,34.0,32.37,No Failure
1,1.426113253799925,0.06840061373523151,0.10082470287126499,-0.787267410736262,35.0,32.73,No Failure
1,1.6038885285194966,0.06840061373523151,-1.0931928488185796,2.112673720600778,36.0,33.08,No Failure
1,1.426113253799925,0.06840061373523151,-0.6590046482040907,0.6780738676425249,37.0,33.44,No Failure
1,1.6038885285194966,0.06840061373523151,0.24038519592592217,-0.13145033509820356,38.0,33.79,No Failure
1,1.426113253799925,-0.22143249531257747,0.09565579572109251,-0.5720774327925247,39.0,34.15,No Failure
1,1.2483379790804547,-0.5112656043603865,-0.34887021919374145,0.1247282100729131,40.0,34.5,No Failure
1,1.2483379790804547,-0.5112656043603865,1.0157212684517953,-1.2483887920442724,42.0,34.85,No Failure
2,1.0705627043608832,-0.5112656043603865,-0.514275247999261,0.33991818801665125,52.0,35.21,No Failure
2,1.0705627043608832,-0.5112656043603865,-0.5711332266511584,0.9957352636547097,44.0,35.56,No Failure
1,1.2483379790804547,-0.5112656043603865,-0.8864365628116802,1.3441380850874283,52.0,35.92,No Failure
2,1.2483379790804547,-0.22143249531257747,0.8813296825473106,-1.166411657589515,44.0,36.27,No Failure
0,1.0705627043608832,-0.22143249531257747,-0.6228222981528833,0.5960967331877679,35.0,36.63,No Failure
1,1.0705627043608832,0.06840061373523151,-1.2585978776240994,1.5798223466448553,36.0,36.98,No Failure
0,1.2483379790804547,0.06840061373523151,-0.47292399079788117,0.9752409800410201,33.0,37.34,No Failure
1,1.2483379790804547,0.06840061373523151,-1.4084961849791013,1.6310580556790786,23.0,37.69,No Failure
1,1.2483379790804547,0.06840061373523151,-0.1524517474871869,-0.3876288802693202,45.0,38.05,No Failure
1,1.0705627043608832,-0.22143249531257747,0.018122188468505183,-0.47985315653092203,55.0,38.4,No Failure
2,0.8927874296414128,-0.5112656043603865,1.2276464616088674,-1.197153083010049,45.0,38.75,No Failure
0,0.8927874296414128,-0.5112656043603865,-0.6900180911051257,1.0879595399163116,34.0,39.11,No Failure
2,0.8927874296414128,-0.5112656043603865,-0.7727206055078855,0.25794105356189345,34.0,39.46,No Failure
1,0.7150121549218412,-0.5112656043603865,-0.14211393318684193,-0.6438074254404369,23.0,39.82,No Failure
0,0.7150121549218412,-0.5112656043603865,0.36960787468023437,-0.3876288802693202,42.0,40.17,No Failure
1,0.5372368802022698,-0.5112656043603865,-0.13177611888649696,0.02225679200446644,54.0,40.53,No Failure
2,0.3594616054827993,-0.8010987134080307,-0.8347474913099553,0.8317809947451948,55.0,40.88,No Failure
1,0.5372368802022698,-0.8010987134080307,-0.34887021919374145,0.0017625083907768153,54.0,41.24,No Failure
1,0.5372368802022698,-0.8010987134080307,-0.6124844838525383,0.2886824789824279,34.0,41.59,No Failure
2,0.5372368802022698,-1.0909318224558398,-0.4005592906954663,-0.2339217531666502,33.0,41.95,No Failure
2,0.5372368802022698,-1.0909318224558398,0.22487847447540468,0.11448106826606828,23.0,42.3,No Failure
1,0.5372368802022698,-1.0909318224558398,1.5998077764212864,-1.320118784692185,24.0,42.65,No Failure
1,0.5372368802022698,-1.0909318224558398,-0.06458032593425463,-0.3773817384624754,36.0,43.01,No Failure
0,0.5372368802022698,-1.0909318224558398,2.3079480559949173,-2.057912994785001,34.0,43.36,No Failure
2,0.5372368802022698,-1.380764931503484,-0.2351542618899467,0.6268381586083016,35.0,43.72,No Failure
0,0.5372368802022698,-1.0909318224558398,-0.323025683442879,0.37065961343718495,36.0,44.07,No Failure
2,0.5372368802022698,-1.0909318224558398,-0.21447863328925676,0.012009650197621628,37.0,44.43,No Failure
1,0.5372368802022698,-1.0909318224558398,-0.3592080334940864,0.7293095766767482,38.0,44.78,No Failure
1,0.5372368802022698,-1.0909318224558398,-1.3361314848766865,2.133168004214468,39.0,45.14,Overstrain Failure
1,0.3594616054827993,-1.380764931503484,-0.6641735553542631,1.2724080924395151,40.0,45.49,Overstrain Failure
1,0.3594616054827993,-1.380764931503484,0.23521628877574968,-0.4491117311103883,42.0,45.85,No Failure
2,0.5372368802022698,-1.0909318224558398,-0.3747147549446039,0.40140103885771866,52.0,46.2,No Failure
2,0.7150121549218412,-0.8010987134080307,-0.5194441551494335,0.3809067552440297,44.0,46.55,No Failure
1,0.7150121549218412,-0.5112656043603865,0.9950456398511054,-1.4225902027606316,52.0,46.91,No Failure
0,0.5372368802022698,-1.0909318224558398,0.36960787468023437,-0.7462788435088835,44.0,47.26,No Failure
0,0.5372368802022698,-0.8010987134080307,-0.42640382644632874,0.3091767625961168,35.0,47.62,No Failure
1,0.5372368802022698,-0.8010987134080307,-0.5556265052006409,2.297122273123982,36.0,47.97,Power Failure
1,0.5372368802022698,-0.8010987134080307,-1.150050827470477,1.969213735304953,33.0,48.33,No Failure
2,0.5372368802022698,-1.0909318224558398,0.3592700603798894,-0.5003474401446116,23.0,48.68,No Failure
1,0.18168633076322785,-1.380764931503484,-0.4057281978456388,1.1187009653368452,45.0,49.04,Tool Wear Failure
2,0.00391105604375741,-1.6705980405512928,1.9823069055340505,-1.955441576716554,55.0,49.39,Tool Wear Failure
2,0.18168633076322785,-1.6705980405512928,0.2610608245266121,-0.6335602836335921,45.0,49.75,Tool Wear Failure
1,0.18168633076322785,-1.380764931503484,-1.2120777132725469,1.8872366008501953,34.0,50.1,No Failure
1,0.18168633076322785,-1.380764931503484,-0.8192407698594378,0.37065961343718495,34.0,50.45,No Failure
1,0.18168633076322785,-1.380764931503484,0.4006213175812693,-0.5310888655651453,23.0,50.81,No Failure
1,0.18168633076322785,-1.0909318224558398,2.31311696314509,-1.8939587258754864,42.0,51.16,No Failure
1,0.18168633076322785,-1.0909318224558398,-0.5401197837501235,1.0572181144957777,54.0,51.52,No Failure
1,0.18168633076322785,-0.8010987134080307,-1.2224155275728918,1.0162295472683986,55.0,51.87,No Failure
1,0.18168633076322785,-0.8010987134080307,-0.3385324048933965,1.0264766890752435,54.0,52.23,No Failure
0,0.18168633076322785,-0.8010987134080307,1.4654161905168017,-1.6070387552838357,34.0,52.58,No Failure
2,0.00391105604375741,-1.0909318224558398,-1.0259970558663374,0.8420281365520397,33.0,52.94,No Failure
1,0.00391105604375741,-1.0909318224558398,-0.2868433333916716,0.08373964284553458,23.0,53.29,No Failure
1,0.18168633076322785,-1.0909318224558398,0.6538977679397212,-0.9512216796457769,24.0,53.65,No Failure
1,0.18168633076322785,-1.0909318224558398,-0.4884307122483986,-0.17243890232558207,36.0,54.0,No Failure
1,0.00391105604375741,-0.8010987134080307,-1.2379222490234094,1.6515523392927682,34.0,54.35,No Failure
1,0.18168633076322785,-0.5112656043603865,-0.8347474913099553,0.3296710462098064,35.0,54.71,No Failure
1,0.3594616054827993,-0.22143249531257747,0.3385944317791994,-0.6438074254404369,36.0,55.06,No Failure
2,0.3594616054827993,-0.5112656043603865,-0.007722347282357255,0.3604124716303401,37.0,55.42,No Failure
1,0.18168633076322785,-0.5112656043603865,-0.3281945905930515,1.0264766890752435,38.0,55.77,No Failure
1,0.18168633076322785,-0.5112656043603865,0.6487288607895487,-0.5413360073719902,39.0,56.13,No Failure
0,0.18168633076322785,-0.5112656043603865,-0.7365382554566781,1.2211723834052919,40.0,56.48,No Failure
0,0.18168633076322785,-0.5112656043603865,0.7107557465916186,-0.5413360073719902,42.0,56.84,No Failure
2,0.18168633076322785,-0.22143249531257747,5.879662896764106,-2.9904028992078655,52.0,57.19,No Failure
1,0.3594616054827993,-0.22143249531257747,-0.4522483621971912,0.3091767625961168,44.0,57.55,No Failure
0,0.3594616054827993,0.06840061373523151,-0.5607954123508134,0.9854881218478649,52.0,57.9,No Failure
2,0.5372368802022698,0.06840061373523151,-0.06974923308442711,0.10423392645922347,44.0,58.25,No Failure
1,0.5372368802022698,0.35823372278287574,0.24555410307609465,-0.5003474401446116,35.0,58.61,No Failure
1,0.5372368802022698,0.06840061373523151,-0.5556265052006409,0.7395567184835931,36.0,58.96,No Failure
1,0.5372368802022698,0.06840061373523151,0.3541011532297169,-0.5003474401446116,33.0,59.32,No Failure
1,0.3594616054827993,-0.22143249531257747,0.1783583101238523,0.1349753518797579,23.0,59.67,No Failure
2,0.5372368802022698,-0.22143249531257747,0.49366164628437403,-0.4286174474966987,45.0,60.03,No Failure
1,0.5372368802022698,-0.22143249531257747,-0.26099879764080913,-0.2031803277461165,55.0,60.38,No Failure
1,0.5372368802022698,-0.22143249531257747,1.0363968970524853,-0.7257845598951946,45.0,60.74,No Failure
2,0.7150121549218412,0.06840061373523151,-1.0156592415659924,1.3441380850874283,34.0,61.09,No Failure
1,0.7150121549218412,0.35823372278287574,0.3541011532297169,-0.469606014724078,34.0,61.45,No Failure
2,0.5372368802022698,0.35823372278287574,-0.6176533910027108,2.133168004214468,23.0,61.8,No Failure
1,0.5372368802022698,0.06840061373523151,0.2610608245266121,-0.32614602942825205,42.0,62.15,No Failure
1,0.5372368802022698,0.06840061373523151,-0.3281945905930515,0.42189532247140826,54.0,62.51,No Failure
1,0.5372368802022698,0.35823372278287574,-0.09042486168511706,-0.3876288802693202,55.0,62.86,No Failure
1,0.7150121549218412,0.35823372278287574,0.1783583101238523,-0.6130660000199032,54.0,63.22,No Failure
0,0.5372368802022698,0.35823372278287574,-1.0156592415659924,1.3338909432805834,34.0,63.57,No Failure
1,0.5372368802022698,0.35823372278287574,-0.7985651412587479,0.5141195987330102,33.0,63.93,No Failure
2,0.3594616054827993,0.06840061373523151,0.25072301022626714,-0.2851574622008735,23.0,64.28,No Failure
1,0.3594616054827993,0.06840061373523151,0.038797817069195134,0.04275107561815533,24.0,64.64,No Failure
1,0.3594616054827993,0.06840061373523151,-0.21447863328925676,-0.162191760518738,36.0,64.99,No Failure
1,0.3594616054827993,-0.22143249531257747,0.6383910464892038,-0.8487502615773301,34.0,65.35,No Failure
1,0.3594616054827993,0.06840061373523151,-0.48326180509822614,-0.18268604413242687,35.0,65.7,No Failure
2,0.3594616054827993,-0.22143249531257747,-0.5504575980504685,0.6473324422219912,36.0,66.05,No Failure
1,0.3594616054827993,-0.22143249531257747,-0.6434979267535732,1.3133966596668945,37.0,66.41,No Failure
0,0.5372368802022698,-0.22143249531257747,1.4809229119673193,-1.5967916134769908,38.0,66.76,No Failure
1,0.5372368802022698,0.06840061373523151,-1.2224155275728918,0.5243667405398549,39.0,67.12,No Failure
1,0.5372368802022698,0.06840061373523151,0.14734486722281737,-0.5618302909856798,40.0,67.47,No Failure
1,0.3594616054827993,0.06840061373523151,0.22487847447540468,-1.0844345231347576,34.56129032,67.83,No Failure
1,0.3594616054827993,-0.22143249531257747,-0.9226189128628876,1.4261152195421853,34.27983871,68.18,No Failure
1,0.3594616054827993,-0.5112656043603865,-1.0931928488185796,0.9547466964273312,33.9983871,68.54,No Failure
1,0.3594616054827993,-0.22143249531257747,-0.007722347282357255,-0.3876288802693202,33.71693548,68.89,No Failure
2,0.3594616054827993,-0.22143249531257747,0.45747929623316663,-0.2851574622008735,33.43548387,69.25,No Failure
1,0.3594616054827993,-0.22143249531257747,-0.012891254432529742,-0.787267410736262,33.15403226,69.6,No Failure
1,0.3594616054827993,0.06840061373523151,0.15251377437298985,-0.5208417237583013,32.87258065,69.95,No Failure
1,0.3594616054827993,-0.5112656043603865,-0.6848491839549532,0.3296710462098064,32.59112903,70.31,No Failure
1,0.18168633076322785,-0.5112656043603865,-0.6021466695521933,0.7907924275178164,32.30967742,70.66,No Failure
1,0.18168633076322785,-0.5112656043603865,-0.14728284033701441,-0.5105945819514565,32.02822581,71.02,No Failure
1,0.18168633076322785,-0.5112656043603865,-0.323025683442879,0.3091767625961168,31.74677419,71.37,No Failure
2,0.00391105604375741,-0.8010987134080307,0.7210935608919635,-0.6335602836335921,31.46532258,71.73,No Failure
1,0.00391105604375741,-0.8010987134080307,-0.2351542618899467,-0.12120319329135874,31.18387097,72.08,No Failure
2,-0.1738642186758141,-1.380764931503484,0.059473445669885085,-0.3363931712350969,30.90241935,72.44,No Failure
1,-0.3516394933953856,-1.380764931503484,-0.7623827912075405,1.067465256302622,30.62096774,72.79,No Failure
1,-0.1738642186758141,-1.0909318224558398,0.3644389675300619,-0.9512216796457769,30.33951613,73.15,No Failure
2,-0.1738642186758141,-1.380764931503484,-1.0415037773168547,1.2006780997916031,30.05806452,73.5,No Failure
1,-0.1738642186758141,-1.380764931503484,1.2224775544586948,-1.5967916134769908,29.7766129,73.85,No Failure
1,-0.1738642186758141,-1.0909318224558398,-0.9949836129653025,1.9384723098844185,29.49516129,74.21,No Failure
1,-0.1738642186758141,-1.0909318224558398,-0.5091063408490886,0.4321424642782531,29.21370968,74.56,No Failure
2,-0.1738642186758141,-1.0909318224558398,-0.7520449769071955,0.9444995546204864,28.93225806,74.92,No Failure
2,-0.3516394933953856,-1.380764931503484,0.44714148193282166,-0.8692445451910198,28.65080645,75.27,No Failure
1,-0.3516394933953856,-1.380764931503484,0.23004738162557717,-0.6540545672472816,28.36935484,75.63,No Failure
1,-0.1738642186758141,-1.0909318224558398,-0.3695458477944314,0.5756024495740782,28.08790323,75.98,No Failure
1,-0.1738642186758141,-0.8010987134080307,-0.9226189128628876,1.7335294737475253,27.80645161,76.34,No Failure
1,-0.1738642186758141,-0.8010987134080307,-0.7003559054054707,1.672046622906458,27.525,76.69,No Failure
1,-0.1738642186758141,-0.8010987134080307,0.6280532321888588,-0.7360317017020387,27.24354839,77.05,No Failure
2,-0.1738642186758141,-1.0909318224558398,-0.38505256924494885,0.2784353371755831,26.96209677,77.4,No Failure
1,-0.1738642186758141,-1.0909318224558398,0.41095913188161426,-0.4183703056898546,26.68064516,77.75,No Failure
1,-0.1738642186758141,-1.0909318224558398,-0.94846344861375,0.8522752783588845,26.39919355,78.11,No Failure
1,-0.1738642186758141,-1.0909318224558398,-0.13694502603666944,-0.2031803277461165,26.11774194,78.46,Overstrain Failure
1,-0.1738642186758141,-1.0909318224558398,-0.2661677047909816,0.052998217425000146,25.83629032,78.82,Overstrain Failure
1,0.00391105604375741,-0.8010987134080307,-1.0828550345182346,2.3688522657718947,25.55483871,79.17,No Failure
1,-0.1738642186758141,-1.6705980405512928,0.38511459613075183,-1.0639402395210682,25.2733871,79.53,No Failure
1,0.00391105604375741,-1.0909318224558398,-0.3023500548421891,-0.2031803277461165,24.99193548,79.88,No Failure
2,0.00391105604375741,-1.0909318224558398,-0.6228222981528833,2.4610765420334966,24.71048387,80.24,No Failure
2,0.18168633076322785,-0.8010987134080307,-0.09559376883528954,0.9444995546204864,24.42903226,80.59,No Failure
1,0.00391105604375741,-1.0909318224558398,0.5867019749874789,-0.7975145525431069,24.14758065,80.95,No Failure
